DBN,School Name,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,School Type,Student Enrollment,Full Time certified STEM teachers,Part Time certified STEM teachers,Ratio of Full Time Licensed STEM Teachers to Students*,Building Code,Mbps Bandwidth,Local School Code,K-12 Enrollment,K-12 FRPL Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Classroom Teachers,Total School Funding per Pupil,Total Teacher Response Rate,a.agree,b.agree,c.agree,3rd Mean Scale Score,3rd % Level 1,3rd % Level 2,3rd % Level 3,3rd % Level 4,3rd % Level 3+4,4th Mean Scale Score,4th % Level 1,4th % Level 2,4th % Level 3,4th % Level 4,4th % Level 3+4,5th Mean Scale Score,5th % Level 1,5th % Level 2,5th % Level 3,5th % Level 4,5th % Level 3+4,Gradespan,Address,Latitude,Longitude,% Poverty,Economic Need Index
01M015,P.S. 015 Roberto Clemente,6,0,0,6,Elementary (K-5),190,0,0,0,M015,50,M015,173,146,8,15,1969858,34942.85,100,86,86,86,616.0499878,5,0,45,50,95,603.0740967,11.11111069,40.74074173,29.62962914,18.51851845,48.14814758,601.9000244,20,45,25,10,35,PK-5,"333 EAST 4 STREET, MANHATTAN NY 10009",40.722075,-73.978747,0.847,0.89
01M140,P.S. 140 Nathan Straus,4,0,0,4,K-8,371,3,0,0.008086253,M140,100,M140,353,309,8,27,2943749,26390.92,50,,,,578.8499756,70,25,5,0,5,580.0499878,70,25,5,0,5,587.4799805,60,28,12,0,12,PK-8,"123 RIDGE STREET, MANHATTAN NY 10002",40.719148,-73.983769,0.884,0.913
01M364,Earth School,3,0,0,3,Elementary (K-5),355,0,0,0,M064,100,M364,320,174,4,26,2651409,23121.93,93,,,,588.4285889,57.1428566,28.5714283,14.28571415,0,14.28571415,587.888916,50,33.33333206,16.66666603,0,16.66666603,595.0769043,61.53845978,15.38461494,0,23.07692337,23.07692337,PK-5,"600 EAST 6 STREET, MANHATTAN NY 10009",40.72313,-73.981597,0.546,0.554
01M539,"New Explorations into Science, Technology and Math",3,1,2,1,K-12,1734,19,0,0.010957324,M022,100,,,,,,,,95,88,80,72,629.9732056,0,0.892857134,8.035714149,91.07142639,99.10713959,628.7477417,0.9009009,0.9009009,10.81081104,87.38739014,98.19819641,629.5618896,0.952380955,2.857142925,18.09523773,78.09523773,96.19047546,K-12,"111 COLUMBIA STREET, MANHATTAN NY 10002",40.719416,-73.979581,0.239,0.282
02M003,P.S. 003 Charrette School,1,0,0,1,Elementary (K-5),753,0,0,0,M003,100,M003,699,150,6.7,46.7,4434059,21310.12,68,,,,618.9777832,3.333333254,10,24.44444466,62.22222137,86.66666412,610.4381104,7.619047642,17.1428566,36.19047546,39.04761887,75.23809814,610.8235474,9.411765099,18.8235302,35.29411697,36.47058868,71.76470947,PK-5,"490 HUDSON STREET, MANHATTAN NY 10014",40.732603,-74.005949,0.219,0.202
02M006,P.S. 006 Lillie D. Blake,6,0,0,6,Elementary (K-5),694,1,0,0.001440922,M006,100,M006,616,71,9.2,32.1,3213809,20637.65,68,100,100,100,622.2174072,0,6.521739006,18.47826004,75,93.47826385,620.663269,0,9.183673859,17.34693909,73.46939087,90.81632996,624.451355,0.884955764,8.849557877,15.92920399,74.33628082,90.26548767,PK-5,"45 EAST 81 STREET, MANHATTAN NY 10028",40.777737,-73.960427,0.12,0.124
02M059,P.S. 059 Beekman Hill International,1,0,0,1,Elementary (K-5),614,0,1,0,M488,200,M059,594,54,13,30.3,3191772,19189.66,60,,,,618.1199951,4,10,27,59,86,611.416687,10,16.66666603,21.66666603,51.66666794,73.33333588,618.9888916,4.444444656,11.11111069,25.55555534,58.88888931,84.44444275,PK-5,"231-249 EAST 56 STREET, MANHATTAN NY 10019",40.759248,-73.967204,0.094,0.087
02M150,P.S. 150,4,0,0,4,Elementary (K-5),187,0,1,0,M840,100,M150,169,22,2.4,10,945316,21595.28,100,,,,612,0,6.896551609,55.17241287,37.93103409,93.10344696,616.458313,4.166666508,12.5,20.83333397,62.5,83.33333588,627.3809814,0,0,14.28571415,85.7142868,100,PK-5,"334 GREENWICH STREET, MANHATTAN NY 10013",40.71953,-74.01088,0.128,0.147
02M183,P.S. 183 Robert L. Stevenson,6,0,0,6,Elementary (K-5),588,0,0,0,M183,100,M183,548,60,6,33.5,3190862,20839.3,68,,,,618.807251,0,7.228915691,31.32530212,61.44578171,92.77108765,617.8903809,1.369863033,5.479452133,31.50684929,61.64383698,93.15068817,618.3048706,3.658536673,19.51219559,26.8292675,50,76.82926941,PK-5,"419 EAST 66 STREET, MANHATTAN NY 10065",40.763804,-73.957731,0.111,0.059
02M217,P.S./I.S. 217 Roosevelt Island,6,0,0,6,K-8,616,2,0,0.003246753,M271,50,M217,580,197,14.7,28.2,3368139,20401.08,88,100,100,100,610.0602417,8.433734894,12.04819298,38.55421829,40.96385574,79.51807404,609.6391602,13.40206146,16.49484444,23.71133995,46.39175415,70.10309601,613.2727051,12.72727299,18.18181801,25.45454597,43.63636398,69.09091187,PK-8,"645 MAIN STREET, MANHATTAN NY 10044",40.753598,-73.956435,0.343,0.28
