dbn,school_name,Borough,grade_span,Latitude,Longitude,Total.Tested_Common.Core.Algebra,Mean.Score_Common.Core.Algebra,Percent.Students.Took.The.Test.For.CCAlgebra,Total.Tested_Common.Core.Algebra2,Mean.Score_Common.Core.Algebra2,Percent.Students.Took.The.Test.For.CCAlgebra2,Total.Tested_Common.Core.Geometry,Mean.Score_Common.Core.Geometry,Percent.Students.Took.The.Test.For.CCGeometry,Total.Tested_Living.Environment,Mean.Score_Living.Environment,Percent.Students.Took.The.Test.For.LE,Total.Tested_Physical.Settings.Earth.Science,Mean.Score_Physical.Settings.Earth.Science,Percent.Students.Took.The.Test.For.ES,Total.Tested_Physical.Settings.Chemistry,Mean.Score_Physical.Settings.Chemistry,Percent.Students.Took.The.Test.For.Chemistry,Total.Tested_Physical.Settings.Physics,Mean.Score_Physical.Settings.Physics,Percent.Students.Took.The.Test.For.Physics,Mbps.Bandwidth,Full.Time.Certified.STEM.Teachers,Part.Time.Certified.STEM.Teachers,Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students,Number.of.CS.Courses,Number.of.AP.CS.Courses,number.of.Full.CS.Courses,number.of.Partial.CS.Courses,Total.Teacher.Response.Rate,Percent.of.STEMTeachers.That.Agree.With.17a,Percent.of.STEMTeachers.That.Agree.With.17b,Percent.of.STEMTeachers.That.Agree.With.17c,K.12.Enrollment_2017.18,K.12.FRPL.Count_2017.18,Classroom.Teachers.w..0.3.Years.Experience_2017.18,Classroom.Teachers.w..More.than.3.Years.Experience_2017.18,Classroom.Teachers_2017.18,Total.School.Funding.per.Pupil_2017.18,School_Type,Percent.Poverty,STEM_AP_Courses_Offered,club_number
01M292,Orchard Collegiate Academy,MANHATTAN,7 to 12,40.713684,-73.986336,41,64.5,0.239766082,3,NA,0.01754386,18,62.2,0.105263158,84,68.2,0.49122807,53,57.2,0.30994152,NA,NA,NA,NA,NA,NA,100,4,0,0.023391813,NA,NA,NA,NA,1,NA,NA,NA,171,156,6,13,1562510,28806.74,High School,0.918,1,1
01M448,University Neighborhood High School,MANHATTAN,9 to 12,40.712399,-73.984497,149,68.8,0.320430108,67,67.3,0.144086022,120,63.6,0.258064516,132,69.8,0.283870968,114,65.6,0.24516129,52,66.2,0.111827957,NA,NA,NA,100,9,0,0.019354839,5,1,3,2,1,1,1,1,465,406,18,12,2530886,21152.28,High School,0.892,0,0
01M450,East Side Community School,MANHATTAN,6 to 12,40.729589,-73.982555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,13,0,0.019033675,2,1,1,1,0.92,0.95,0.89,0.95,683,442,9,38,4299160,21194.44,High School,0.654,1,0
01M509,Marta Valle High School,MANHATTAN,9 to 12,40.720581,-73.985645,44,56.4,0.297297297,7,62,0.047297297,19,54.5,0.128378378,48,62,0.324324324,NA,NA,NA,2,NA,0.013513514,NA,NA,NA,100,3,0,0.02027027,NA,NA,NA,NA,0.33,NA,NA,NA,148,138,7,6,978691,33702.45,High School,0.932,1,0
01M539,"New Explorations into Science, Technology and Math High School (NEST+m)",MANHATTAN,K to 12,40.718895,-73.979308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,19,0,0.010957324,3,1,2,1,0.95,0.88,0.8,0.72,1734,395,36,62,7871234,16571.2,High School,0.239,5,1
01M696,Bard High School Early College,MANHATTAN,9 to 12,40.719029,-73.975891,52,73.4,0.088435374,NA,NA,NA,NA,NA,NA,2,NA,0.003401361,NA,NA,NA,131,76,0.222789116,NA,NA,NA,100,11,0,0.018707483,NA,NA,NA,NA,0.78,1,1,1,588,256,5,30,3310321,19169.61,High School,0.44,0,0
02M047, The American Sign Language and English Secondary School,MANHATTAN,9 to 12,40.738548,-73.982455,49,59,0.296969697,30,56.4,0.181818182,31,61,0.187878788,45,64,0.272727273,58,64.9,0.351515152,NA,NA,NA,NA,NA,NA,100,4,0,0.024242424,NA,NA,NA,NA,0.81,0.67,0.33,0.67,165,145,10,7,1688716,29476.31,High School,0.885,1,2
02M135,The Urban Assembly School for Emergency Management,MANHATTAN,9 to 12,40.711442,-74.000851,84,61.3,0.298932384,32,58.6,0.113879004,76,56.3,0.270462633,83,67.2,0.295373665,85,62,0.302491103,NA,NA,NA,NA,NA,NA,100,6,0,0.021352313,NA,NA,NA,NA,1,0.89,0.89,1,281,229,5,19,1846158,24031.41,High School,0.819,1,0
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,MANHATTAN,9 to 12,40.76337,-73.990593,169,63.1,0.42893401,40,50,0.101522843,102,50.6,0.258883249,166,65.1,0.421319797,99,61.4,0.251269036,NA,NA,NA,NA,NA,NA,200,8,0,0.020304569,NA,NA,NA,NA,1,1,1,1,394,330,16,25,2989735,25340.19,High School,0.845,0,0
02M260,"Clinton School Writers & Artists, M.S. 260",MANHATTAN,6 to 12,40.736518,-73.992725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,11,0,0.018211921,NA,NA,NA,NA,0.58,0.88,0.75,0.88,NA,NA,NA,NA,NA,NA,High School,0.142,0,0
02M280,Manhattan Early College School for Advertising,MANHATTAN,9 to 13,40.711442,-74.000851,131,64.6,0.356948229,34,67.9,0.092643052,61,61.3,0.166212534,93,75.2,0.253405995,NA,NA,NA,83,66.8,0.226158038,NA,NA,NA,100,6,0,0.016348774,1,0,0,1,0.88,0.78,0.89,0.78,367,294,8,22,2704770,21770.58,High School,0.812,0,0
02M282,Urban Assembly Maker Academy,MANHATTAN,9 to 12,40.711442,-74.000851,159,60.1,0.411917098,57,57.6,0.147668394,65,60.6,0.168393782,97,70.8,0.251295337,70,62.8,0.18134715,29,53.9,0.075129534,NA,NA,NA,100,11,0,0.028497409,7,0,0,7,1,1,0.77,1,386,287,15,12,2293038,21041.53,High School,0.754,1,0
02M288,Food and Finance High School,MANHATTAN,9 to 12,40.765184,-73.992953,98,61.3,0.259259259,36,56.9,0.095238095,5,NA,0.013227513,130,63.2,0.343915344,NA,NA,NA,62,50.7,0.164021164,NA,NA,NA,200,7,0,0.018518519,NA,NA,NA,NA,0.47,NA,NA,NA,378,333,5,23,2773162,23257.85,High School,0.886,0,0
02M294,Essex Street Academy,MANHATTAN,9 to 12,40.716778,-73.989337,1,NA,0.002941176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,8,0,0.023529412,1,1,1,0,0.96,1,1,1,340,234,2,24,2307602,22838.34,High School,0.703,1,0
02M296,High School of Hospitality Management,MANHATTAN,9 to 12,40.765184,-73.992953,123,64.3,0.314578005,14,62.5,0.035805627,20,53.9,0.051150895,84,66.6,0.21483376,92,57.6,0.235294118,27,51.2,0.069053708,NA,NA,NA,200,8,0,0.020460358,1,0,1,0,0.57,1,0.86,1,391,359,7,20,2359637,22224.25,High School,0.923,0,1
02M298,Pace High School,MANHATTAN,9 to 12,40.716553,-73.993092,167,65.7,0.310986965,76,60.8,0.141527002,127,55.6,0.236499069,160,69,0.297951583,52,61.6,0.096834264,87,60,0.162011173,8,66.3,0.014897579,200,12,0,0.022346369,NA,NA,NA,NA,0.95,0.9,0.67,0.9,537,425,7,32,3287794,20239.82,High School,0.81,3,1
