schooldbn,printedschoolname,Borough,gradespan,Latitude,Longitude,Student Enrollment,Full Time certified  STEM teachers,Part Time certified STEM teachers,Ratio of Full Time Licensed STEM Teachers to Students*,Mbps Bandwidth,# of Comp Sci Courses,# of AP Comp Sci Courses,# of Full CS Courses,# of Partial CS Courses,K-12 Enrollment,K-12 FRPL Count,Classroom Teachers w/ 0-3 Years Experience,Classroom Teachers w/ More than 3 Years Experience,Classroom Teachers,Total School Funding per Pupil,Teacher_Response_Rate,17a. SD/D,17a. SA/A,"17b. SD/D,",17b. SA/A,17c. SD/D,17c. SA/A,number_tested,number_level_one,number_level_two,number_level_three,number_level_four,percent_level_one,percent_level_two,percent_level_three,percent_level_four,poverty_percent
06M018,Park Terrace (P.S. 18),MANHATTAN,GR K-8,40.871278,-73.911516,353,2,0,0.00566572238,,9,0,0,9,353,327,8.7,22.0,2675314,25509.28,97,0,100,0,100,0,100,120,69,35,15,1,0.575,0.2916666667,0.125,0.008333333333,92.6
06M052,I.S. 52 (Inwood Intermediate School 52),MANHATTAN,GR 6-8,40.866053,-73.924835,267,5,0,0.01872659176,100,,,,,,,,,,,100,0,100,0,100,0,100,229,131,71,22,5,0.5720524017,0.3100436681,0.096069869,0.02183406114,95
06M143,Eleanor Roosevelt Intermediate School (I.S. 143),MANHATTAN,GR 6-8,40.848908,-73.930948,265,7,0,0.02641509434,100,,,,,265,235,5,24.0,2532302,35724.25,100,0,100,0,100,0,100,251,149,64,28,10,0.593625498,0.2549800797,0.1115537849,0.03984063745,89.4
06M187,Hudson Cliffs School (P.S./I.S. 187),MANHATTAN,GR K-8,40.856693,-73.937093,799,2,0,0.002503128911,20,,,,,781,332,14,39.0,4487510,19605.94,51,14,86,14,86,14,86,197,56,59,51,31,0.2842639594,0.2994923858,0.2588832487,0.1573604061,43.3
06M209,Hamilton Grange Middle School,MANHATTAN,GR 6-8,40.820953,-73.951145,267,3,0,0.01123595506,100,,,,,267,248,8,15.0,2060536,23526.48,96,0,100,0,100,0,100,223,107,72,34,10,0.4798206278,0.3228699552,0.1524663677,0.04484304933,92.9
06M210,The Twenty-First Century Academy for Community Leadership (P.S./I.S. 210),MANHATTAN,GR PK-8,40.829832,-73.944789,419,0,0,0,100,,,,,401,367,4.5,36.0,3522534,25099.38,95,20,80,20,80,20,80,144,36,66,25,17,0.25,0.4583333333,0.1736111111,0.1180555556,92.4
06M218,The Salome Ureña de Henriquez School (I.S. 218),MANHATTAN,GR 6-8,40.86079,-73.930672,175,5,0,0.02857142857,100,,,,,,,,,,,37,,,,,,,,,,,,,,,,
06M223,The Mott Hall School,MANHATTAN,GR 6-8,40.815458,-73.952908,292,7,0,0.02397260274,100,,,,,292,234,3,21.0,2095345,22544.66,100,11,89,11,89,11,89,277,17,32,76,152,0.06137184116,0.1155234657,0.274368231,0.5487364621,80.8
06M278,Paula Hedbavny School (P.S./M.S. 278),MANHATTAN,GR K-8,40.871245,-73.912141,559,3,0,0.005366726297,100,,,,,559,373,8,27.0,3180637,19347.2,100,0,100,0,100,13,88,198,36,60,43,59,0.1818181818,0.303030303,0.2171717172,0.297979798,67.4
06M293,City College Academy of The Arts,MANHATTAN,GR 6-12,40.86079,-73.930672,602,13,0,0.02159468439,100,2,0,2,0,602,497,10,28.0,3374400,19520.5,44,0,100,14,86,14,86,240,66,80,60,34,0.275,0.3333333333,0.25,0.1416666667,83.4
