"","dbn","School.Name","Borough","gradespan","Latitude","Longitude","Number.Tested","Mean.Scale.Math.Score","%Level1","%Level2","%Level3","%Level4","%Level3&4","Mbps.Bandwidth","Full.Time.Certified.STEM.Teachers","Part.Time.Certified.STEM.Teachers","Ratio.of.Full.Time.Licensed.STEM.Teachers.to.Students","Total.Teacher.Response.Rate","Percent.of.STEMTeachers.That.Agree.With.17a","Percent.of.STEMTeachers.That.Agree.With.17b","Percent.of.STEMTeachers.That.Agree.With.17c","Percent.Poverty","K.12.Enrollment","K.12.FRPL.Count","Classroom.Teachers.w..0.3.Years.Experience","Classroom.Teachers.w..More.than.3.Years.Experience","Classroom.Teachers","Total.School.Funding.per.Pupil","Salary.Per.Classroom.Teacher"
"1","01M015","P.S. 015 Roberto Clemente","MANHATTAN","PK-5",40.722075,-73.978747,67,607,11.9,29.9,32.8,25.4,58.2,50,0,0,0,"100%",0.86,0.86,0.86,0.847,173,146,8,15,1969858,34942.85,85646
"2","01M019","P.S. 019 Asher Levy","MANHATTAN","PK-5",40.730009,-73.984496,89,603,23.6,18,29.2,29.2,58.4,100,0,0,0,"95%",0.86,0.86,0.86,0.77,244,186,10,31,3128238,36838.61,76298.4878048781
"3","01M020","P.S. 020 Anna Silver","MANHATTAN","PK-5",40.721305,-73.986312,212,593,41.5,23.1,17.9,17.5,35.4,10,0,0,0,"89%",NA,NA,NA,0.736,463,334,19,28,3633140,24714.3,77300.8510638298
"4","01M034","Franklin Delano Roosevelt (P.S. 34)","MANHATTAN"," PK-8",40.726473,-73.975181,221,588,54.8,29.4,10.9,5,15.8,100,4,0,0.012012012012012,"78%",NA,NA,NA,0.95,320,312,10,26,2777390,29882.06,77149.7222222222
"5","01M063","The STAR Academy - P.S.63","MANHATTAN","PK-5",40.72444,-73.986214,64,602,18.8,23.4,37.5,20.3,57.8,100,0,0,0,"100%",NA,NA,NA,0.818,177,147,11,9.9,1860705,32215.22,89028.9473684211
"6","01M064","P.S. 064 Robert Simon","MANHATTAN","PK-5",40.72313,-73.981597,86,592,43,24.4,20.9,11.6,32.6,100,0,0,0,"96%",NA,NA,NA,0.922,210,192,8.7,17,1676691,29726.15,65240.8949416342
"7","01M110","P.S. 110 Florence Nightingale","MANHATTAN","PK-5",40.7162,-73.9798,168,615,12.5,10.1,19.6,57.7,77.4,100,0,0,0,"92%",NA,NA,NA,0.625,349,218,11.7,13,2034094,20406.68,82351.983805668
"8","01M134","P.S. 134 Henrietta Szold","MANHATTAN","PK-5",40.714248,-73.983854,145,588,52.4,13.8,24.1,9.7,33.8,100,0,0,0,"89%",NA,NA,NA,0.919,277,254,7,28,2674147,33798.47,76404.2
"9","01M140","The Nathan Straus Preparatory School (P.S. 140)","MANHATTAN"," PK-8",40.71925,-73.983056,221,588,53.8,28.5,14,3.6,17.6,100,3,0,0.00808625336927224,"50%",NA,NA,NA,0.884,353,309,8,27,2943749,26390.92,84107.1142857143
"10","01M142","P.S. 142 Amalia Castro","MANHATTAN","PK-5",40.718121,-73.984116,96,590,37.5,31.3,27.1,4.2,31.3,100,0,0,0,"95%",NA,NA,NA,0.95,308,299,13,23,3068717,28543.47,85242.1388888889
"11","01M184","Shuang Wen School (P.S. 184)","MANHATTAN"," PK-8",40.711549,-73.986542,427,618,5.9,13.1,24.4,56.7,81,100,6,0,0.0087719298245614,"92%",0.83,1,0.92,0.68,649,440,23,28,4014189,20901.88,78709.5882352941
"12","01M188","The Island School (P.S. 188)","MANHATTAN"," PK-8",40.719598,-73.977904,265,596,30.6,39.2,24.5,5.7,30.2,100,2,0,0.0046189376443418,"86%",1,1,1,0.921,414,377,10.9,28,3497645,29106.77,89913.7532133676
"13","01M301","Technology, Arts and Sciences Studios","MANHATTAN"," 6-8",40.729636,-73.983818,NA,NA,NA,NA,NA,NA,NA,100,3,0,0.0283018867924528,"54%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","01M315","The East Village Community School","MANHATTAN","PK-5",40.727537,-73.978254,107,609,7.5,25.2,30.8,36.4,67.3,100,0,0,0,"93%",NA,NA,NA,0.27,282,74,8,16,1861402,22229.01,77558.4166666667
"15","01M332","University Neighborhood Middle School","MANHATTAN"," 6-8",40.713684,-73.986336,168,584,66.7,20.8,7.7,4.8,12.5,100,5,0,0.0246305418719212,"100%",1,0.8,1,0.887,203,178,10,15,2072200,37499.03,82888
