DBN,School Name,School Type.x,Borough,Latitude,Longitude,Math Proficiency,# of Comp Sci Courses,Mbps Bandwidth,PD17a,PD17b,PD17c,Scaled Mean Score,Poverty Percent,FRPL,TSFPP,Average Teacher Salary,PLVL34,Stem Activities Count,School Type.y,Ratio of Full Time Licensed STEM Teachers to Students*
06M018,Park Terrace (P.S. 18),K-8,MANHATTAN,40.871278,-73.911516,17,9,,0,0,0,40,92.6,327,25509.28,87143.7785,0.133333333,1,K-8,2:353
06M052,I.S. 52 (Inwood Intermediate School 52),Middle (6-8),MANHATTAN,40.866053,-73.924835,12,,100,0,0,0,76.33333333,95,,,,0.11790393,2,Middle (6-8),5:267
06M143,Eleanor Roosevelt Intermediate School (I.S. 143),Middle (6-8),MANHATTAN,40.848908,-73.930948,7,,100,0,0,0,83.66666667,89.4,235,35724.25,87320.75862,0.151394422,1,Middle (6-8),7:265
06M187,Hudson Cliffs School (P.S./I.S. 187),K-8,MANHATTAN,40.856693,-73.937093,42,,20,14,14,14,65.66666667,43.3,332,19605.94,84670,0.416243655,0,K-8,2:799
06M209,Hamilton Grange Middle School,Middle (6-8),MANHATTAN,40.820953,-73.951145,19,,100,0,0,0,74.33333333,92.9,248,23526.48,89588.52174,0.197309417,1,Middle (6-8),1:89
06M210,The Twenty-First Century Academy for Community Leadership (P.S./I.S. 210),K-8,MANHATTAN,40.829832,-73.944789,23,,100,20,20,20,48,92.4,367,25099.38,86976.14815,0.291666667,1,K-8,0:1
06M218,The Salome Ureña de Henriquez School (I.S. 218),Middle (6-8),MANHATTAN,40.86079,-73.930672,4,,100,,,,,,,,,,1,Middle (6-8),1:35
06M223,The Mott Hall School,Middle (6-8),MANHATTAN,40.815458,-73.952908,54,,100,11,11,11,92.33333333,80.8,234,22544.66,87306.04167,0.823104693,2,Middle (6-8),7:292
06M278,Paula Hedbavny School (P.S./M.S. 278),K-8,MANHATTAN,40.871245,-73.912141,63,,100,0,0,13,66,67.4,373,19347.2,90875.34286,0.515151515,0,K-8,3:559
06M293,City College Academy of The Arts,Secondary (6-12),MANHATTAN,40.86079,-73.930672,44,2,100,0,14,14,80,83.4,497,19520.5,88800,0.391666667,0,Secondary (6-12),13:602
06M311,Amistad Dual Language School,K-8,MANHATTAN,40.866706,-73.923948,16,,100,0,13,0,41.33333333,81.3,320,21900.2,82341.67857,0.298387097,0,K-8,1:395
06M319,Maria Teresa Mirabal (M.S. 319),Middle (6-8),MANHATTAN,40.839305,-73.936159,14,3,100,14,14,14,104.3333333,95,409,26848.47,98123.02941,0.300319489,2,Middle (6-8),5:418
06M322,The Renaissance Leadership Academy (M.S. 322),Middle (6-8),MANHATTAN,40.86079,-73.930672,17,,100,30,20,10,98.33333333,95,287,27157.3,118859.9655,0.213559322,1,Middle (6-8),2:155
06M324,Patria Mirabal Middle School (M.S. 324),Middle (6-8),MANHATTAN,40.839305,-73.936159,28,,100,0,0,0,102.6666667,91.7,361,27364.07,74981.05263,0.266233766,0,Middle (6-8),1:57
06M328,Community Math & Science Prep,Middle (6-8),MANHATTAN,40.836536,-73.937159,2,,100,10,20,10,70.33333333,95,227,32086.07,86214.18868,0.104265403,0,Middle (6-8),3:229
06M346,Community Health Academy of The Heights,Secondary (6-12),MANHATTAN,40.833687,-73.942072,16,,100,0,0,0,78,93.3,654,21182.14,77525.43396,0.192307692,0,Secondary (6-12),13:703
06M348,Washington Heights Expeditionary Learning School,K-12,MANHATTAN,40.848908,-73.930948,25,1,100,0,13,13,70,77.3,615,21088.68,82047.57143,0.047619048,0,K-12,14:815
06M349,Harbor Heights Middle School,Middle (6-8),MANHATTAN,40.845469,-73.940468,7,,100,0,0,0,46.33333333,95,127,27713.45,78762.7,0.201438849,1,Middle (6-8),2:129
06M366,Washington Heights Academy,K-8,MANHATTAN,40.8654,-73.921101,48,,100,0,0,0,43.33333333,90.9,470,21269.89,95293,0.784615385,1,K-8,3:571
06M528,Bea Fuller Rodgers School (I.S. 528),Middle (6-8),MANHATTAN,40.85051,-73.934485,10,,100,,,,56.66666667,95,215,25280.82,80463,0.305882353,1,Middle (6-8),1:56
07X005,Port Morris (P.S./M.S. 5),K-8,BRONX,40.813728,-73.908886,8,,100,14,14,14,76,95,654,24925.93,85546.16529,0.149122807,0,K-8,3:722
07X029,The Melrose School (P.S./M.S. 29),K-8,BRONX,40.821515,-73.917279,9,,20,14,0,0,85,93.4,681,23554.69,74118.21127,0.109803922,0,K-8,1:396
07X031,The William Lloyd Garrison (P.S./M.S. 31),K-8,BRONX,40.82316,-73.921631,4,,100,17,18,0,71,92.1,603,24749.45,86304.45378,0.117370892,1,K-8,1:177
07X151,Lou Gehrig Academy (J.H.S. 151),Middle (6-8),BRONX,40.82316,-73.921631,3,,100,0,0,0,81,95,259,26864.64,94100.55814,0.053497942,1,Middle (6-8),2:261
20K201,Dyker Heights (J.H.S. 201),Middle (6-8),BROOKLYN,40.618676,-74.012722,66,,10,0,0,0,514.6666667,75.5,1193,18919.06,92457,0.71761658,1,Middle (6-8),1:88
07X221,South Bronx Preparatory: A College Board School,Secondary (6-12),BRONX,40.813983,-73.920782,16,2,200,5,14,5,87,95,635,23927,78565.23517,0.260536398,0,Secondary (6-12),13:659
07X223,The Laboratory School of Finance and Technology: X223,Secondary (6-12),BRONX,40.813983,-73.920782,40,10,200,11,11,16,92,95,666,21253.09,79402.87938,0.47826087,1,Secondary (6-12),1:57
07X224,Science School for Exploration and Discovery (M.S. 224),Middle (6-8),BRONX,40.81004,-73.917792,3,,200,20,40,60,96.33333333,95,351,27584.83,89056.86207,0.020761246,2,Middle (6-8),5:358
07X296,South Bronx Academy for Applied Media,Middle (6-8),BRONX,40.818874,-73.905927,6,,100,0,0,0,73.66666667,93.7,236,29008.13,79798.16,0.117647059,0,Middle (6-8),3:253
27Q183,Dr. Richard R. Green School (P.S./M.S. 183),K-8,QUEENS,40.589508,-73.805361,10,,10,14,14,0,52.66666667,92.8,472,28838.75,92482.80392,0.240506329,0,K-8,2:525
07X298,The Academy of Public Relations,Middle (6-8),BRONX,40.818874,-73.905927,9,,100,25,29,25,68.66666667,92.3,225,28655.37,94698.65217,0.048543689,1,Middle (6-8),4:247
07X343,Academy of Applied Mathematics & Technology,Middle (6-8),BRONX,40.81004,-73.917792,38,,200,11,0,11,85.33333333,95,283,23903.12,81421.625,0.34375,2,Middle (6-8),7:300
07X500,Hostos-Lincoln Academy of Science,Secondary (6-12),BRONX,40.815498,-73.91224,7,,100,0,0,0,48.66666667,86,434,22266.48,84243.97222,0.205479452,1,Secondary (6-12),7:508
07X551,The Urban Assembly Bronx Academy of Letters,Secondary (6-12),BRONX,40.813641,-73.925313,5,1,100,19,13,13,80,91,530,24549.22,75492.26481,0.104166667,0,Secondary (6-12),11:590
07X584,I.S. 584,Middle (6-8),BRONX,40.815498,-73.91224,,,100,0,0,0,87,95,269,28067.28,68720.88889,0.049808429,0,Middle (6-8),6:277
20K030,Mary White Ovington (P.S./I.S. 30),K-8,BROOKLYN,40.63359,-74.023948,40,7,40,25,25,25,125.6666667,80.6,729,21552.59,95620.21739,0.527851459,0,K-8,9:911
20K062,Ditmas Junior High School (J.H.S. 62),Middle (6-8),BROOKLYN,40.638686,-73.971651,27,2,40,10,10,13,342.6666667,88.8,1052,21878.09,87505,0.391050584,2,Middle (6-8),19:1204
20K104,The Fort Hamilton School (P.S./I.S. 104),K-8,BROOKLYN,40.618415,-74.028842,45,6,30,0,0,,159.6666667,64.4,810,19722.7,85874.33113,0.513569937,0,K-8,3:1265
20K163,P.S. 163 Bath Beach,K-8,BROOKLYN,40.606792,-74.00806,62,,10,,,,82.66666667,81.2,509,23640.3,84969.80851,0.588709677,0,K-8,1:211
20K180,The SEEALL Academy,K-8,BROOKLYN,40.627029,-73.989672,58,,50,0,0,0,149,88.4,,,,0.648769575,0,K-8,7:1136
20K187,The Christa McAuliffe School (I.S. 187),Middle (6-8),BROOKLYN,40.627784,-74.004485,97,,50,0,8,8,230,66.1,574,20074.66,97870.71956,0.956521739,1,Middle (6-8),14:873
